description,base_lorom,base_file_offset,plm_id,plm_name,x,y,param,file_offset,plm_description
"; Room $91F8, state $9247. Landing site - power bombs have been collected",8F:8000,078000,B703,,30,40,92B0,078000,Scroll PLM
"; Room $91F8, state $9247. Landing site - power bombs have been collected",8F:8000,078000,B647,,30,39,8000,078006,Upwards extension
"; Room $91F8, state $9247. Landing site - power bombs have been collected",8F:8000,078000,B647,,30,38,8000,07800C,Upwards extension
"; Room $91F8, state $9247. Landing site - power bombs have been collected",8F:8000,078000,B647,,30,37,8000,078012,Upwards extension
"; Room $91F8, state $9247. Landing site - power bombs have been collected",8F:8000,078000,C872,,142,70,0000,078018,Door. Green door facing left
"; Room $91F8, state $9247. Landing site - power bombs have been collected",8F:8000,078000,C85A,,142,22,0001,07801E,Door. Yellow door facing left
"; Room $91F8, state $9261. Landing site - event ""Zebes timebomb set"" is set",8F:8026,078026,B703,,30,40,92B0,078026,Scroll PLM
"; Room $91F8, state $9261. Landing site - event ""Zebes timebomb set"" is set",8F:8026,078026,B647,,30,39,8000,07802C,Upwards extension
"; Room $91F8, state $9261. Landing site - event ""Zebes timebomb set"" is set",8F:8026,078026,B647,,30,38,8000,078032,Upwards extension
"; Room $91F8, state $9261. Landing site - event ""Zebes timebomb set"" is set",8F:8026,078026,B647,,30,37,8000,078038,Upwards extension
"; Room $91F8, state $9261. Landing site - event ""Zebes timebomb set"" is set",8F:8026,078026,DB44,,8,8,0008,07803E,Sets Metroids cleared states when required
"; Room $91F8, state $9261. Landing site - event ""Zebes timebomb set"" is set",8F:8026,078026,C848,,1,38,9002,078044,Door. Grey door facing right
"; Room $91F8, state $9261. Landing site - event ""Zebes timebomb set"" is set",8F:8026,078026,C842,,142,70,9003,07804A,Door. Grey door facing left
"; Room $91F8, state $9261. Landing site - event ""Zebes timebomb set"" is set",8F:8026,078026,C842,,142,22,9004,078050,Door. Grey door facing left
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,67,11,938C,078076,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,22,13,938F,07807C,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,23,13,8000,078082,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,24,13,8000,078088,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,25,13,8000,07808E,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,22,11,9396,078094,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,23,11,8000,07809A,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,24,11,8000,0780A0,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,25,11,8000,0780A6,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,14,9,9399,0780AC,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,B647,,14,8,8000,0780B2,Upwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B647,,14,7,8000,0780B8,Upwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,28,10,939C,0780BE,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,B647,,28,9,8000,0780C4,Upwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B647,,28,8,8000,0780CA,Upwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B647,,28,7,8000,0780D0,Upwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B647,,28,6,8000,0780D6,Upwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B647,,28,5,8000,0780DC,Upwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,50,11,939F,0780E2,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,60,11,939F,0780E8,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,58,17,93A2,0780EE,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,59,17,8000,0780F4,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,60,17,8000,0780FA,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,61,17,8000,078100,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B63B,,62,17,8000,078106,Rightwards extension
; Room $92B3. Gauntlet east,8F:8058,078058,B703,,52,14,93A5,07810C,Scroll PLM
; Room $92B3. Gauntlet east,8F:8058,078058,C88A,,30,54,0005,078112,Door. Red door facing left
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,63,11,9389,07805A,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,67,11,938C,078060,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,22,13,938F,078066,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,23,13,8000,07806C,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,24,13,8000,078072,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,25,13,8000,078078,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,22,11,9396,07807E,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,23,11,8000,078084,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,24,11,8000,07808A,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,25,11,8000,078090,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,14,9,9399,078096,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B647,,14,8,8000,07809C,Upwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B647,,14,7,8000,0780A2,Upwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,28,10,939C,0780A8,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B647,,28,9,8000,0780AE,Upwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B647,,28,8,8000,0780B4,Upwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B647,,28,7,8000,0780BA,Upwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B647,,28,6,8000,0780C0,Upwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B647,,28,5,8000,0780C6,Upwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,50,11,939F,0780CC,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,60,11,939F,0780D2,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,58,17,93A2,0780D8,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,59,17,8000,0780DE,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,60,17,8000,0780E4,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,61,17,8000,0780EA,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B63B,,62,17,8000,0780F0,Rightwards extension
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,B703,,52,14,93A5,0780F6,Scroll PLM
"; Room $92FD, state $932E. Crateria mainstreet - event ""Zebes is awake"" is set",8F:805A,07805A,C88A,,30,54,0005,0780FC,Door. Red door facing left
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,63,11,9389,078104,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,67,11,938C,07810A,Scroll PLM
"; Room $92FD, state $9348. Crateria mainstreet - event ""Zebes timebomb set"" is set",8F:8104,078104,B703,,22,13,938F,078110,Scroll PLM
